Loss,Validation Loss,Accuracy,Validation Accuracy
0.4653944969177246,0.32024461030960083,0.8092166185379028,0.8996840715408325
0.30177000164985657,0.24774543941020966,0.9028308391571045,0.9324644804000854
0.24042481184005737,0.20323345065116882,0.9249505996704102,0.9435229301452637
0.20804500579833984,0.17576627433300018,0.9345622062683105,0.9494470953941345
0.1816192865371704,0.15928135812282562,0.9433838129043579,0.9514217972755432
0.16940490901470184,0.14874450862407684,0.9458854794502258,0.9541864395141602
0.15856492519378662,0.14070068299770355,0.9508887529373169,0.9557662010192871
0.1529722511768341,0.13634203374385834,0.9537853598594666,0.9530015587806702
0.14780648052692413,0.13445936143398285,0.9547070264816284,0.9537914395332336
0.14288048446178436,0.1295408010482788,0.9522054195404053,0.9565560817718506
0.13649603724479675,0.1262911558151245,0.9545753598213196,0.9557662010192871
0.13517019152641296,0.12443243712186813,0.9556286931037903,0.9581358432769775
0.13209281861782074,0.12181858718395233,0.9586570262908936,0.9597156643867493
0.13036519289016724,0.11896198987960815,0.9587886929512024,0.958925724029541
0.12429451197385788,0.11757727712392807,0.9599736928939819,0.9605055451393127
0.1254853755235672,0.11570580303668976,0.9623436331748962,0.9620853066444397
0.12320210784673691,0.1162819191813469,0.9599736928939819,0.9609004855155945
0.12281478196382523,0.11386660486459732,0.9599736928939819,0.9612954258918762
0.12014131993055344,0.11326209455728531,0.9626069664955139,0.9609004855155945
0.11750210076570511,0.11231042444705963,0.9640552997589111,0.9609004855155945
0.11756672710180283,0.10985220223665237,0.9626069664955139,0.9632701277732849
0.11537732928991318,0.11033140122890472,0.9628702998161316,0.9628751873970032
0.11561179906129837,0.10865077376365662,0.9628702998161316,0.9640600085258484
0.11308587342500687,0.10723064839839935,0.9645819664001465,0.9656398296356201
0.11598850041627884,0.10745926201343536,0.9630019664764404,0.9656398296356201
0.10968275368213654,0.10571189224720001,0.9655036330223083,0.9656398296356201
0.11126431077718735,0.10424783080816269,0.9653719663619995,0.9672195911407471
0.1065518856048584,0.10409411042928696,0.9677419066429138,0.9660347700119019
0.11057824641466141,0.10385795682668686,0.964976966381073,0.9652448892593384
0.10327772796154022,0.1035381406545639,0.9666886329650879,0.9672195911407471
0.10398875921964645,0.1023658886551857,0.9673469662666321,0.9656398296356201
0.10583211481571198,0.102239228785038,0.9669519662857056,0.9648499488830566
0.10200701653957367,0.10130495578050613,0.9677419066429138,0.9660347700119019
0.10461852699518204,0.10102609544992447,0.9666886329650879,0.9672195911407471
0.10219310969114304,0.10035611689090729,0.9699802398681641,0.9660347700119019
0.10113399475812912,0.09667859971523285,0.9690585732460022,0.9680094718933105
0.10136841982603073,0.09866416454315186,0.9682685732841492,0.9691942930221558
0.10195057094097137,0.09762546420097351,0.9677419066429138,0.9684044122695923
0.09944939613342285,0.09728667885065079,0.969190239906311,0.9680094718933105
0.09874910116195679,0.09819357097148895,0.9693219065666199,0.9680094718933105
0.09569825977087021,0.09661639481782913,0.9706385731697083,0.9676145315170288
0.10015740245580673,0.09727588295936584,0.9672152996063232,0.9668246507644653
0.09925811737775803,0.09708847850561142,0.9702435731887817,0.9672195911407471
0.0976138636469841,0.09655564278364182,0.9709019064903259,0.9680094718933105
0.09602146595716476,0.09544738382101059,0.9698485732078552,0.968799352645874
0.09726962447166443,0.09476874023675919,0.9714285731315613,0.968799352645874
0.09725591540336609,0.0963822528719902,0.9712969064712524,0.9672195911407471
0.0960630252957344,0.09343091398477554,0.9697169065475464,0.9684044122695923
0.09471569210290909,0.09340549260377884,0.9697169065475464,0.9676145315170288
0.09735532850027084,0.09312155097723007,0.9701119065284729,0.9691942930221558
0.09462162107229233,0.09304481744766235,0.9697169065475464,0.9684044122695923
0.09232991933822632,0.09115378558635712,0.9711652398109436,0.9703791737556458
0.09268787503242493,0.09481292217969894,0.9730085730552673,0.9668246507644653
0.09057828038930893,0.09311837702989578,0.9728769063949585,0.9703791737556458
0.09417910873889923,0.0933152437210083,0.9718235731124878,0.9695892333984375
0.09212659299373627,0.09386728703975677,0.973271906375885,0.968799352645874
0.09294682741165161,0.09326080232858658,0.9720869064331055,0.9672195911407471
0.09106746315956116,0.0910353735089302,0.9739302396774292,0.9699841737747192
0.09295359998941422,0.09355683624744415,0.9714285731315613,0.9703791737556458
0.09309939295053482,0.08928946405649185,0.9699802398681641,0.9707741141319275
0.09078314155340195,0.08965139836072922,0.9730085730552673,0.9711690545082092
0.09315888583660126,0.08852971345186234,0.971691906452179,0.971563994884491
0.08879242837429047,0.0906086415052414,0.9726135730743408,0.9735386967658997
0.09046228229999542,0.09010223299264908,0.9722185730934143,0.971563994884491
0.08988196402788162,0.0903872698545456,0.974061906337738,0.9699841737747192
0.08696220815181732,0.08793001621961594,0.9727452397346497,0.9723538756370544
0.09023937582969666,0.08813346177339554,0.9728769063949585,0.9731437563896179
0.08938319236040115,0.08741404861211777,0.9748518466949463,0.9735386967658997
0.0915224701166153,0.08625277876853943,0.9723502397537231,0.9727488160133362
0.08682417124509811,0.08523280918598175,0.9749835133552551,0.9719589352607727
0.08438579738140106,0.08375187963247299,0.9747202396392822,0.9731437563896179
0.0888434424996376,0.08458871394395828,0.972481906414032,0.9723538756370544
0.0857713595032692,0.08629615604877472,0.9753785133361816,0.9727488160133362
0.08890664577484131,0.08561583608388901,0.9722185730934143,0.971563994884491
0.08774616569280624,0.08504002541303635,0.9720869064331055,0.9743285775184631
0.08642943203449249,0.08348628878593445,0.9748518466949463,0.9735386967658997
0.08572036772966385,0.08494315296411514,0.9741935729980469,0.9735386967658997
0.08749569207429886,0.08304423838853836,0.9730085730552673,0.9735386967658997
0.08631545305252075,0.08398259431123734,0.9723502397537231,0.9735386967658997
0.08316129446029663,0.08582697063684464,0.973271906375885,0.9743285775184631
0.084561787545681,0.08446148782968521,0.9731402397155762,0.9727488160133362
0.08473233133554459,0.08566668629646301,0.9741935729980469,0.9727488160133362
0.0842682272195816,0.08483348786830902,0.9731402397155762,0.9711690545082092
0.08617868274450302,0.082465760409832,0.9739302396774292,0.9723538756370544
0.08433905243873596,0.08500941842794418,0.974061906337738,0.9703791737556458
0.08727339655160904,0.08374424278736115,0.9730085730552673,0.9735386967658997
0.08607061952352524,0.08549564331769943,0.973271906375885,0.9719589352607727
0.0843832865357399,0.08273758739233017,0.9743252396583557,0.9731437563896179
0.08610990643501282,0.08565118163824081,0.9743252396583557,0.9727488160133362
0.0842973068356514,0.08405078947544098,0.9749835133552551,0.9747235178947449
0.08612801134586334,0.08270435780286789,0.972481906414032,0.9759083986282349
0.08165145665407181,0.08240130543708801,0.9761685132980347,0.9735386967658997
0.07989424467086792,0.08500982075929642,0.9755101799964905,0.9711690545082092
0.07986088842153549,0.08424978703260422,0.9765635132789612,0.9747235178947449
0.08016714453697205,0.08288691937923431,0.9749835133552551,0.9743285775184631
0.0844159722328186,0.08333171904087067,0.9748518466949463,0.9743285775184631
0.08147633075714111,0.08297053724527359,0.9747202396392822,0.9735386967658997
0.08383116126060486,0.08347675949335098,0.9745885729789734,0.9735386967658997
0.08087973296642303,0.08153875917196274,0.9760368466377258,0.9743285775184631
0.08044420927762985,0.08429070562124252,0.9764318466186523,0.9751184582710266
